"STD_NAME","FILTER","POLICY_NAME"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_AppStatus_ALL_ALL_M"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_HogThr_OTH_ALL_M"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_JDBCPct_ALL_ALL_M"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_JDBCStat_ALL_ALL_C"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_JDBCWait_ALL_ALL_C"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_JMXStatus_ALL_ALL_M"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_JVMPct_OTH_ALL_W"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_Obj_Status_ALL_M"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_RQPending_ALL_ALL_C"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_SerStatus_OTH_ALL_C"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_SrvHealth_ALL_ALL_M"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_ThrPct_ALL_ALL_M"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_ThrPct_ALL_ALL_W"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_ThrUsed_OTH_ALL_C"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_ThrUsed_OTH_ALL_W"
"WEBLOGIC域ITM监控标准","MO_TYPE='WEBLOGIC_DOMAIN'","CEB_Wls_WTCState_ALL_ALL_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_HardPct_C"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_HardPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_HardPct_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_SysPct_C"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_SysPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_SysPct_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_Busy_STEADY_C"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_Busy_STEADY_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_Busy_STEADY_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_WaitIO_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPR_UsedPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPR_UsedPct_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPW_UsedPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPW_UsedPct_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FileSystems_Read_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FileSystems_Write_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FS_UsedPct_STEADY_C"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FS_UsedPct_STEADY_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Inodes_UsedPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Inodes_UsedPct_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Login_Failure_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_STEADY_C"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_STEADY_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_STEADY_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_COUNT_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_STATUS_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_STATUS_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_POWER_PATH_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Swap_UsedPct_C"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Swap_UsedPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Swap_UsedPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_HardPct_C"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_HardPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_HardPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_SysPct_C"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_SysPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_SysPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_Busy_SHAKE_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_WaitIO_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPR_UsedPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPR_UsedPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPW_UsedPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPW_UsedPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FileSystems_Read_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FileSystems_Write_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FS_UsedPct_SHAKE_C"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FS_UsedPct_SHAKE_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Inodes_UsedPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Inodes_UsedPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Login_Failure_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_SHAKE_C"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_SHAKE_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_SHAKE_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_COUNT_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_STATUS_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_STATUS_W"
