"SYSTEMCODE","APP_NAME","VOLUME_TYPE"
"00005","网上银行系统（NBANK）","UNSTEADY"
"00039","理财产品销售系统（FUND）","UNSTEADY"
"00059","企业年金账管系统（EPAMS）","UNSTEADY"
"00012","门户网站系统（NPORT）","UNSTEADY"
"00052","第三方存管系统（IFTS）","UNSTEADY"
"00007","手机银行系统（CEMB）","UNSTEADY"
"00006","电子支付平台（EPAY）","UNSTEADY"
"00064","理财产品注册登记系统（BTA）","UNSTEADY"
"00067","代理金交所业务系统（GOLD_TRADE）","UNSTEADY"
"00143","动态口令集中认证管理平台（OTP）","UNSTEADY"
"00066","新汇市通系统（NEXCH）","UNSTEADY"
"00051","收单系统（EBPP）","UNSTEADY"
"00154","文件安全传输管理平台（MFT）","UNSTEADY"
"00019","统一接口平台（EBIS）","UNSTEADY"
"00029","积分系统（CASS）","UNSTEADY"
"00030","理财资产配置平台（AAP）","UNSTEADY"
"00068","实物黄金销售系统（GSALE）","UNSTEADY"
"00027","金融服务开放平台（BOP）","UNSTEADY"
"00063","股权托管系统（ESTOCK）","UNSTEADY"
"00055","期货保证金存管系统（FDS）","UNSTEADY"
"00086","电子交易风险监控系统（ETRM）","UNSTEADY"
"00142","数字地图共享服务系统（EMAP）","UNSTEADY"
"00013","瑶瑶缴费（YAOYAO）","UNSTEADY"
"00090","贵金属投资交易系统（GITS）","UNSTEADY"
"00073","数据准备系统（EBDP）","UNSTEADY"
"00237","互联网信贷管理系统（IFS）","UNSTEADY"
"00250","网络支付清算平台（NPCP）","UNSTEADY"